"","sample_name","new_phenotype"
"718","BAN_C4_59850",0
"719","BAN_C4_59983",0
"720","BAN_C4_60452",0
"721","BAN_C4_60600",0
"722","BAN_C4_61667",0
"723","BAN_C4_61808",0
"724","BAN_C4_61882",0
"725","BAN_C4_61894",0
"726","BAN_C4_62483",0
"727","BAN_C4_62555",0
"728","BAN_C4_62842",0
"729","BAN_C4_63152",0
"730","BAN_C4_63332",0
"731","BAN_C4_63407",0
"732","BAN_C4_63530",0
"733","BAN_C4_63703",0
"734","BAN_C4_63734",0
"735","BAN_C4_63904",0
"736","BAN_C4_64101",0
"737","BAN_C4_64239",0
"738","BAN_C4_64346",0
"739","BAN_C4_64584",0
"740","BAN_C4_64737",0
"741","BAN_C4_64987",0
"742","BAN_C4_65042",0
"743","BAN_C4_65308",0
"744","BAN_C4_65401",0
"745","BAN_C4_65552",0
"746","BAN_C4_65562",0
"747","BAN_C4_65728",0
"748","BAN_C4_65731",0
"749","BAN_C4_66531",0
"750","BAN_C4_67470",0
"751","BAN_C4_68384",0
"752","BAN_C4_71750",0
"753","BAN_C4_72963",0
"754","BAN_C5_32914",0
"755","BAN_C5_40711",0
